State,Year,City,Population,Violent Crime Total,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property Crime Total,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Alabama,2020,Cedar Bluff,"1,823",4,0,0,0,4,36,7,26,3,
Alabama,2020,Centre,"3,547",20,0,4,0,16,124,12,97,15,
Alabama,2020,Daleville,"5,080",16,0,0,1,15,98,19,72,7,
Alabama,2020,Enterprise,"28,569",128,2,17,9,100,715,97,570,48,
Alabama,2020,Eufaula,"11,568",95,3,9,15,68,456,95,318,43,
Alabama,2020,Glencoe,"5,063",10,0,1,0,9,41,7,32,2,
Alabama,2020,Hokes Bluff,"4,254",6,0,1,0,5,33,17,15,1,
Alabama,2020,Jackson,"4,583",29,1,1,1,26,83,12,68,3,
Alabama,2020,Kimberly,"3,660",6,0,0,0,6,20,1,17,2,
Alabama,2020,Leesburg,"1,014",2,0,0,0,2,18,8,8,2,
Alabama,2020,Leighton,754,12,0,2,0,10,36,11,20,5,
Alabama,2020,Marion,"3,067",5,0,0,0,5,12,8,3,1,
Alabama,2020,Odenville,"3,915",11,0,2,2,7,46,9,26,11,
Alabama,2020,Piedmont,"4,501",23,0,3,0,20,92,22,59,11,
Alabama,2020,Rainbow City,"9,610",6,0,2,0,4,86,17,60,9,
Alabama,2020,Rogersville,"1,250",4,0,0,0,4,29,9,17,3,
Alabama,2020,Saraland,"14,751",30,1,1,2,26,470,46,403,21,
Alabama,2020,Thomasville,"3,799",18,0,1,0,17,112,22,82,8,
Alaska,2020,Anchorage,"286,388","3,472",18,558,558,"2,338","9,872","1,444","7,279","1,149",73
Alaska,2020,Bethel,"6,642",93,0,43,2,48,71,21,35,15,5
Alaska,2020,Bristol Bay Borough,817,4,0,0,0,4,9,5,0,4,0
Alaska,2020,Cordova,"2,161",0,0,0,0,0,6,3,3,0,1
Alaska,2020,Craig,"1,268",3,0,0,0,3,12,2,10,0,1
Alaska,2020,Dillingham,"2,364",22,0,1,0,21,25,7,14,4,1
Alaska,2020,Fairbanks,"30,832",260,3,24,41,192,"1,276",171,908,197,16
Alaska,2020,Haines,"2,524",5,0,1,0,4,23,5,16,2,1
Alaska,2020,Homer,"6,028",17,0,1,0,16,101,11,79,11,0
Alaska,2020,Juneau,"31,925",296,1,76,40,179,946,152,748,46,7
Alaska,2020,Kenai,"7,885",35,1,10,1,23,148,14,128,6,2
Alaska,2020,Ketchikan,"8,307",37,1,12,2,22,250,23,213,14,0
Alaska,2020,Kodiak,"5,778",33,0,3,3,27,91,10,73,8,1
Alaska,2020,Kotzebue,"3,249",22,2,1,0,19,6,2,3,1,0
Alaska,2020,Nome,"3,900",164,2,94,5,63,72,8,56,8,0
Alaska,2020,North Pole,"2,090",14,0,1,1,12,56,8,38,10,1
Alaska,2020,North Slope Borough,"9,836",126,1,17,0,108,53,17,26,10,1
Alaska,2020,Palmer,"7,641",18,0,2,2,14,84,10,66,8,1
Alaska,2020,Petersburg,"3,259",8,0,0,0,8,84,12,70,2,0
Alaska,2020,Seward,"2,806",9,0,3,1,5,59,10,41,8,0
Alaska,2020,Skagway,"1,206",1,0,0,0,1,0,0,0,0,0
Alaska,2020,Soldotna,"4,782",7,0,1,1,5,89,6,78,5,2
Alaska,2020,Unalaska,"4,439",9,0,0,0,9,54,1,53,0,0
Alaska,2020,Valdez,"3,841",7,0,2,0,5,36,3,33,0,0
Alaska,2020,Wasilla,"11,228",78,0,9,5,64,341,27,285,29,0
Alaska,2020,Wrangell,"2,508",2,0,1,0,1,12,3,6,3,0
Arizona,2020,Apache Junction,"43,385",93,2,10,10,71,770,133,549,88,6
Arizona,2020,Avondale,"89,338",310,1,14,59,236,"3,025",251,"2,552",222,16
Arizona,2020,Buckeye,"83,608",145,1,41,18,85,"1,184",141,952,91,2
Arizona,2020,Bullhead City,"41,035",108,1,4,20,83,"1,110",193,819,98,16
Arizona,2020,Camp Verde,"11,223",39,2,0,1,36,199,46,138,15,0
Arizona,2020,Casa Grande4,"59,822",338,1,23,38,276,"1,200",150,947,103,14
Arizona,2020,Chandler,"264,071",543,9,123,104,307,"4,898",505,"3,956",437,16
Arizona,2020,Chino Valley,"12,564",24,2,0,0,22,122,23,87,12,0
Arizona,2020,Clarkdale,"4,433",6,2,1,0,3,23,2,21,0,0
Arizona,2020,Colorado City,"4,838",0,0,0,0,0,0,0,0,0,0
Arizona,2020,Coolidge,"13,277",80,0,4,5,71,352,37,295,20,5
Arizona,2020,Cottonwood,"12,380",47,1,3,8,35,478,56,392,30,7
Arizona,2020,Douglas,"16,044",17,0,1,1,15,395,67,311,17,
Arizona,2020,Eagar,"4,944",10,0,1,0,9,29,7,19,3,0
Arizona,2020,El Mirage,"36,221",106,4,25,11,66,803,131,579,93,
Arizona,2020,Florence,"27,571",25,0,0,1,24,73,12,55,6,
Arizona,2020,Gilbert,"259,629",284,4,47,40,193,"2,798",395,"2,253",150,10
Arizona,2020,Glendale,"255,468","1,123",24,83,208,808,"6,956","1,273","4,924",759,67
Arizona,2020,Globe,"7,328",140,1,1,6,132,469,50,382,37,
Arizona,2020,Goodyear,"89,607",199,2,20,30,147,"1,922",284,"1,561",77,
Arizona,2020,Hayden,976,6,0,0,0,6,12,4,6,2,2
Arizona,2020,Huachuca City,"1,723",1,0,1,0,0,18,2,16,0,0
Arizona,2020,Jerome,456,1,0,0,0,1,11,4,6,1,0
Arizona,2020,Kingman,"31,351",124,2,9,17,96,"1,106",136,868,102,13
Arizona,2020,Lake Havasu City4,"56,243",105,0,27,3,75,790,115,619,56,7
Arizona,2020,Mammoth,"1,709",4,0,0,0,4,31,10,18,3,0
Arizona,2020,Marana,"50,942",39,0,6,7,26,"1,165",73,"1,047",45,7
Arizona,2020,Maricopa,"53,165",67,0,4,9,54,615,75,478,62,0
Arizona,2020,Mesa4,"527,361","1,960",19,235,380,"1,326","9,737","1,597","7,124","1,016",22
Arizona,2020,Nogales,"20,026",38,0,0,1,37,565,63,369,133,
Arizona,2020,Oro Valley4,"46,634",27,0,3,8,16,559,40,501,18,1
Arizona,2020,Page,"7,546",97,0,11,5,81,267,15,235,17,
Arizona,2020,Paradise Valley,"14,859",15,0,2,2,11,216,31,175,10,
Arizona,2020,Parker4,"3,224",7,0,0,1,6,77,24,43,10,2
Arizona,2020,Payson4,"15,869",100,0,0,2,98,332,74,238,20,4
Arizona,2020,Peoria,"178,486",471,3,68,73,327,"2,683",431,"2,037",215,9
Arizona,2020,Phoenix,"1,708,960","13,646",187,"1,068","3,278","9,113","51,089","7,406","36,254","7,429",297
Arizona,2020,Pima,"2,580",5,0,0,0,5,21,2,16,3,
Arizona,2020,Pinetop-Lakeside,"4,490",37,0,5,6,26,111,9,97,5,
Arizona,2020,Prescott,"44,835",168,0,31,3,134,657,129,494,34,
Arizona,2020,Prescott Valley,"47,459",80,0,21,10,49,374,39,317,18,
Arizona,2020,Sahuarita,"32,053",36,1,3,4,28,273,26,236,11,0
Arizona,2020,San Luis4,"35,574",25,0,2,2,21,323,37,201,85,0
Arizona,2020,Scottsdale,"263,006",470,7,109,97,257,"4,945",683,"3,963",299,21
Arizona,2020,Show Low,"11,527",75,0,10,1,64,313,37,259,17,2
Arizona,2020,Sierra Vista,"42,800",82,1,4,12,65,888,85,764,39,
Arizona,2020,Snowflake-Taylor,"10,384",66,1,0,1,64,116,26,81,9,
Arizona,2020,Somerton4,"16,811",35,1,2,3,29,112,30,61,21,0
Arizona,2020,South Tucson,"5,723",113,1,11,15,86,665,108,515,42,4
Arizona,2020,Springerville,"1,979",3,0,0,1,2,5,1,1,3,0
Arizona,2020,St. Johns,"3,514",16,0,9,0,7,30,9,19,2,2
Arizona,2020,Superior,"3,212",15,0,1,1,13,75,26,42,7,1
Arizona,2020,Surprise4,"144,620",209,2,34,30,143,"2,006",170,"1,677",159,14
Arizona,2020,Tempe,"199,935","1,100",8,155,248,689,"7,124",960,"5,464",700,
Arizona,2020,Tolleson,"7,470",90,0,4,18,68,909,200,612,97,2
Arizona,2020,Tucson,"550,448","3,843",61,463,978,"2,341","19,931","2,097","15,956","1,878",246
Arizona,2020,Wellton,"3,062",3,0,0,0,3,26,11,15,0,0
Arizona,2020,Wickenburg,"7,041",20,0,4,0,16,158,12,128,18,2
Arizona,2020,Willcox,"3,509",5,0,0,0,5,138,37,88,13,
Arizona,2020,Williams,"3,271",44,0,1,1,42,69,9,56,4,
Arizona,2020,Winslow,"9,298",107,2,6,5,94,345,48,271,26,2
Arizona,2020,Yuma,"99,096",498,11,39,43,405,"1,927",330,"1,412",185,25
Arkansas,2020,Alexander,"3,524",41,1,7,0,33,96,37,53,6,3
Arkansas,2020,Alma,"5,904",20,0,9,0,11,152,30,119,3,1
Arkansas,2020,Altus,726,0,0,0,0,0,6,1,4,1,0
Arkansas,2020,Amity,681,0,0,0,0,0,1,0,0,1,0
Arkansas,2020,Arkadelphia,"10,732",48,0,1,4,43,227,35,185,7,1
Arkansas,2020,Ashdown,"4,367",8,2,0,1,5,110,22,76,12,0
Arkansas,2020,Ash Flat,"1,099",2,0,1,0,1,54,9,45,0,0
Arkansas,2020,Atkins,"3,040",7,0,4,0,3,72,18,52,2,1
Arkansas,2020,Augusta,"1,917",6,0,2,1,3,15,7,7,1,1
Arkansas,2020,Austin,"4,401",11,0,4,0,7,62,36,22,4,0
Arkansas,2020,Bald Knob,"2,864",14,1,3,0,10,105,34,67,4,1
Arkansas,2020,Barling,"5,076",24,0,3,0,21,75,17,54,4,0
Arkansas,2020,Batesville,"10,938",35,2,14,1,18,256,31,202,23,0
Arkansas,2020,Bay,"1,823",9,0,3,0,6,15,4,10,1,0
Arkansas,2020,Beebe,"8,268",29,0,8,1,20,193,38,138,17,1
Arkansas,2020,Bella Vista,"29,138",55,0,14,2,39,170,25,141,4,0
Arkansas,2020,Benton,"37,542",215,0,19,21,175,"1,241",181,942,118,5
Arkansas,2020,Bentonville,"57,575",183,0,23,6,154,857,94,707,56,1
Arkansas,2020,Berryville,"5,577",12,0,1,3,8,145,23,113,9,0
Arkansas,2020,Blytheville,"13,239",158,18,10,21,109,705,83,600,22,1
Arkansas,2020,Bono,"2,517",5,0,3,0,2,19,1,15,3,1
Arkansas,2020,Booneville,"3,765",13,0,1,0,12,76,17,54,5,0
Arkansas,2020,Bradford,734,5,0,2,0,3,7,0,6,1,0
Arkansas,2020,Brinkley,"2,531",19,1,0,2,16,87,21,51,15,1
Arkansas,2020,Bryant,"21,497",39,0,9,4,26,807,50,721,36,0
Arkansas,2020,Bull Shoals,"1,945",7,0,2,1,4,25,7,18,0,0
Arkansas,2020,Cabot,"26,593",102,0,28,10,64,372,75,253,44,1
Arkansas,2020,Caddo Valley,637,2,0,0,0,2,35,7,24,4,0
Arkansas,2020,Camden,"10,605",114,1,5,8,100,323,87,217,19,2
Arkansas,2020,Cammack Village,713,1,0,0,0,1,21,0,20,1,0
Arkansas,2020,Caraway,"1,283",0,0,0,0,0,13,4,8,1,2
Arkansas,2020,Carlisle,"2,149",2,0,1,0,1,68,15,48,5,0
Arkansas,2020,Charleston,"2,462",3,0,1,0,2,33,8,23,2,0
Arkansas,2020,Cherokee Village,"4,657",11,2,2,0,7,88,37,44,7,2
Arkansas,2020,Cherry Valley,576,1,0,0,0,1,10,1,8,1,0
Arkansas,2020,Clarendon,"1,330",6,0,1,0,5,50,24,24,2,0
Arkansas,2020,Clarksville,"9,829",33,1,11,2,19,247,25,199,23,0
Arkansas,2020,Clinton,"2,505",4,0,0,0,4,47,8,37,2,0
Arkansas,2020,Conway,"68,599",359,3,45,29,282,"1,915",159,"1,628",128,7
Arkansas,2020,Corning,"3,018",6,0,1,0,5,45,9,27,9,0
Arkansas,2020,Cotter,949,2,0,0,0,2,21,4,15,2,0
Arkansas,2020,Crossett,"4,723",33,1,3,1,28,155,47,98,10,0
Arkansas,2020,Damascus,382,1,0,0,0,1,3,1,2,0,0
Arkansas,2020,Danville,"2,391",7,0,1,1,5,23,11,12,0,0
Arkansas,2020,Dardanelle,"4,520",31,0,5,3,23,77,28,48,1,0
Arkansas,2020,Decatur,"1,801",18,0,4,1,13,45,6,34,5,0
Arkansas,2020,De Queen,"6,526",26,0,4,3,19,182,59,112,11,0
Arkansas,2020,Des Arc,"1,568",11,0,2,0,9,13,2,10,1,0
Arkansas,2020,DeWitt,"2,976",19,0,2,0,17,74,16,56,2,2
Arkansas,2020,Diamond City,802,0,0,0,0,0,4,4,0,0,0
Arkansas,2020,Diaz,"1,196",4,0,0,0,4,5,1,3,1,1
Arkansas,2020,Dover,"1,446",7,0,1,0,6,31,7,20,4,0
Arkansas,2020,Dumas,"3,984",32,0,3,5,24,31,13,18,0,0
Arkansas,2020,Earle,"2,156",16,0,1,0,15,47,12,35,0,1
Arkansas,2020,El Dorado,"17,523",241,8,14,24,195,794,363,377,54,7
Arkansas,2020,Etowah,313,2,0,0,0,2,11,4,5,2,0
Arkansas,2020,Eudora,"1,866",5,1,0,0,4,24,8,16,0,6
Arkansas,2020,Eureka Springs,"2,110",11,0,1,0,10,73,18,50,5,0
Arkansas,2020,Fairfield Bay,"2,173",13,0,1,0,12,42,12,26,4,0
Arkansas,2020,Farmington,"7,575",18,0,7,1,10,75,18,43,14,0
Arkansas,2020,Fayetteville,"89,252",517,6,66,55,390,"4,611",411,"3,673",527,15
Arkansas,2020,Flippin,"1,319",5,1,3,0,1,47,7,37,3,0
Arkansas,2020,Fordyce,"3,646",61,0,5,3,53,146,26,112,8,0
Arkansas,2020,Forrest City,"13,656",223,4,13,9,197,614,95,440,79,9
Arkansas,2020,Fort Smith,"88,071","1,031",7,96,106,822,"4,871",637,"3,716",518,17
Arkansas,2020,Gassville,"2,168",4,0,0,0,4,46,4,41,1,0
Arkansas,2020,Gentry,"4,086",17,0,3,0,14,21,1,13,7,0
Arkansas,2020,Gillett,680,2,0,2,0,0,6,2,4,0,0
Arkansas,2020,Gravette,"3,558",23,0,3,0,20,52,9,37,6,0
Arkansas,2020,Greenbrier,"5,779",1,0,1,0,0,14,0,12,2,0
Arkansas,2020,Green Forest,"2,760",36,1,11,1,23,38,7,28,3,0
Arkansas,2020,Greenland,"1,416",3,0,2,0,1,13,1,10,2,0
Arkansas,2020,Greenwood,"9,449",20,0,4,1,15,32,9,21,2,0
Arkansas,2020,Gurdon,"2,069",26,0,6,0,20,40,22,16,2,1
Arkansas,2020,Hackett,851,1,0,1,0,0,6,0,6,0,0
Arkansas,2020,Hamburg,"2,574",4,0,0,0,4,15,8,7,0,0
Arkansas,2020,Harrisburg,"2,309",10,0,4,0,6,47,9,32,6,0
Arkansas,2020,Harrison,"13,096",46,0,9,1,36,237,45,175,17,2
Arkansas,2020,Haskell,"4,667",5,0,0,1,4,40,15,22,3,1
Arkansas,2020,Hazen,"1,331",10,0,0,0,10,16,9,6,1,0
Arkansas,2020,Heber Springs,"6,880",37,0,10,1,26,263,64,174,25,0
Arkansas,2020,Helena-West Helena,"10,086",165,14,6,16,129,495,143,328,24,19
Arkansas,2020,Highfill,641,5,0,1,0,4,5,3,0,2,0
Arkansas,2020,Highland,"1,113",9,0,2,0,7,23,2,19,2,0
Arkansas,2020,Hope,"9,543",122,1,15,6,100,337,82,230,25,2
Arkansas,2020,Hot Springs,"38,893",287,9,39,43,196,"2,276",656,"1,431",189,7
Arkansas,2020,Hoxie,"2,581",12,0,1,0,11,15,4,9,2,1
Arkansas,2020,Jacksonville,"28,217",327,8,21,35,263,"1,263",220,879,164,11
Arkansas,2020,Jericho,103,1,0,0,0,1,4,1,3,0,0
Arkansas,2020,Johnson,"3,781",8,0,1,0,7,95,45,41,9,0
Arkansas,2020,Jonesboro,"79,702",642,12,78,55,497,"2,825","1,038","1,576",211,13
Arkansas,2020,Judsonia,"1,991",12,0,2,0,10,34,14,15,5,0
Arkansas,2020,Lake City,"2,720",3,0,1,0,2,13,5,7,1,0
Arkansas,2020,Lakeview,718,5,0,3,0,2,10,2,7,1,0
Arkansas,2020,Lake Village,"2,155",6,1,0,1,4,51,9,41,1,0
Arkansas,2020,Leachville,"1,835",13,0,4,0,9,40,17,20,3,1
Arkansas,2020,Lewisville,"1,097",0,0,0,0,0,9,4,3,2,0
Arkansas,2020,Lincoln,"2,503",5,0,1,0,4,44,7,36,1,0
Arkansas,2020,Little Flock,"2,816",17,0,9,0,8,38,6,30,2,0
Arkansas,2020,Little Rock,"197,688","3,657",49,196,376,"3,036","9,602","1,527","7,062","1,013",70
Arkansas,2020,Lonoke,"4,178",53,0,11,4,38,155,32,119,4,0
Arkansas,2020,Lowell,"9,825",25,0,2,0,23,146,64,73,9,0
Arkansas,2020,Luxora,"1,011",1,0,0,0,1,6,2,3,1,0
Arkansas,2020,Magnolia,"11,434",50,2,4,8,36,406,150,249,7,0
Arkansas,2020,Malvern,"10,966",100,3,10,7,80,412,188,199,25,2
Arkansas,2020,Mansfield,"1,090",8,0,0,0,8,15,4,10,1,0
Arkansas,2020,Marianna,"3,325",28,4,4,3,17,113,26,80,7,2
Arkansas,2020,Marion,"12,285",156,0,9,10,137,364,54,279,31,1
Arkansas,2020,Marked Tree,"2,405",22,1,2,0,19,45,12,29,4,0
Arkansas,2020,Marmaduke,"1,265",12,1,5,1,5,27,7,19,1,0
Arkansas,2020,Marshall,"1,330",2,0,0,1,1,8,2,6,0,1
Arkansas,2020,Maumelle,"18,307",26,1,4,4,17,289,55,205,29,1
Arkansas,2020,Mayflower,"2,418",10,0,0,3,7,46,10,33,3,0
Arkansas,2020,McGehee,"3,631",22,1,3,1,17,51,15,29,7,0
Arkansas,2020,McRae,667,0,0,0,0,0,7,0,7,0,0
Arkansas,2020,Mena,"5,461",14,0,7,0,7,210,20,183,7,0
Arkansas,2020,Menifee,319,1,0,0,0,1,4,2,0,2,0
Arkansas,2020,Mineral Springs,"1,142",6,0,0,0,6,15,3,12,0,0
Arkansas,2020,Monette,"1,602",7,0,0,1,6,20,3,13,4,0
Arkansas,2020,Monticello,"9,348",45,0,5,1,39,220,50,152,18,2
Arkansas,2020,Morrilton,"6,631",35,0,17,4,14,221,16,196,9,1
Arkansas,2020,Mountain Home,"12,582",32,2,13,1,16,384,41,321,22,0
Arkansas,2020,Mountain View,"2,875",12,0,5,1,6,73,17,53,3,0
Arkansas,2020,Mulberry,"1,697",10,0,6,0,4,34,2,27,5,0
Arkansas,2020,Murfreesboro,"1,576",4,0,2,0,2,10,1,8,1,0
Arkansas,2020,Nashville,"4,360",18,0,9,2,7,116,24,92,0,2
Arkansas,2020,Newport,"7,423",93,0,9,3,81,436,120,301,15,5
Arkansas,2020,Norfork,536,0,0,0,0,0,0,0,0,0,0
Arkansas,2020,North Little Rock,"66,303",665,20,12,110,523,"2,433",366,"1,750",317,21
Arkansas,2020,Ola,"1,203",2,0,0,0,2,16,3,11,2,0
Arkansas,2020,Osceola,"6,527",195,2,6,7,180,293,113,142,38,5
Arkansas,2020,Ozark,"3,583",13,0,3,1,9,66,28,31,7,1
Arkansas,2020,Paragould,"29,288",378,1,25,15,337,"1,329",178,"1,039",112,4
Arkansas,2020,Paris,"3,345",31,0,1,0,30,86,37,39,10,0
Arkansas,2020,Patterson,385,2,0,0,0,2,6,1,4,1,0
Arkansas,2020,Pea Ridge,"6,398",25,0,10,0,15,77,7,68,2,0
Arkansas,2020,Perryville,"1,457",1,0,0,0,1,31,3,23,5,1
Arkansas,2020,Piggott,"3,494",2,0,2,0,0,33,9,24,0,0
Arkansas,2020,Pine Bluff,"40,718",746,23,27,59,637,"1,990",414,"1,323",253,42
Arkansas,2020,Plumerville,768,2,0,0,0,2,10,2,7,1,0
Arkansas,2020,Pocahontas,"6,647",42,1,15,1,25,255,41,196,18,1
Arkansas,2020,Pottsville,"3,390",5,0,2,0,3,17,7,7,3,0
Arkansas,2020,Prairie Grove,"7,058",25,0,7,2,16,107,12,90,5,0
Arkansas,2020,Prescott,"2,957",10,1,2,0,7,50,9,36,5,1
Arkansas,2020,Quitman,714,3,0,1,0,2,18,2,13,3,0
Arkansas,2020,Ravenden,448,2,0,0,0,2,10,1,9,0,0
Arkansas,2020,Redfield,"1,540",8,0,1,2,5,30,9,19,2,0
Arkansas,2020,Rogers,"70,194",274,0,69,18,187,"1,822",129,"1,565",128,7
Arkansas,2020,Rose Bud,488,1,0,0,0,1,13,1,8,4,0
Arkansas,2020,Russellville,"29,266",139,2,17,9,111,"1,133",122,926,85,1
Arkansas,2020,Searcy,"23,742",206,7,29,27,143,983,110,769,104,2
Arkansas,2020,Shannon Hills,"4,098",21,0,2,1,18,64,21,32,11,1
Arkansas,2020,Sheridan,"4,963",11,0,3,0,8,103,27,68,8,0
Arkansas,2020,Sherwood,"31,636",202,3,14,14,171,847,237,525,85,2
Arkansas,2020,Siloam Springs,"17,332",84,0,20,11,53,449,72,329,48,2
Arkansas,2020,Star City,"2,005",19,0,6,1,12,19,4,13,2,0
Arkansas,2020,St. Charles,210,1,0,0,0,1,2,0,2,0,0
Arkansas,2020,Stuttgart,"8,402",107,2,6,7,92,331,76,237,18,5
Arkansas,2020,Sulphur Springs,530,2,0,1,0,1,3,0,3,0,0
Arkansas,2020,Swifton,726,0,0,0,0,0,12,5,5,2,0
Arkansas,2020,Texarkana,"29,622",273,4,22,21,226,922,155,696,71,4
Arkansas,2020,Trumann,"6,934",52,0,16,1,35,370,86,257,27,2
Arkansas,2020,Tuckerman,"1,663",6,0,2,0,4,50,11,37,2,1
Arkansas,2020,Van Buren,"23,779",124,0,24,3,97,701,228,417,56,0
Arkansas,2020,Vilonia,"4,719",4,0,1,0,3,67,19,42,6,1
Arkansas,2020,Waldron,"3,344",13,1,4,0,8,135,60,65,10,0
Arkansas,2020,Walnut Ridge,"5,023",22,0,4,0,18,59,18,35,6,1
Arkansas,2020,Ward,"5,517",66,1,8,4,53,109,32,66,11,3
Arkansas,2020,Warren,"5,546",29,1,2,3,23,119,40,66,13,2
Arkansas,2020,Weiner,669,5,0,3,0,2,24,6,12,6,0
Arkansas,2020,West Fork,"2,688",3,0,2,0,1,62,9,51,2,0
Arkansas,2020,West Memphis,"24,205",607,7,31,45,524,"1,094",201,765,128,15
Arkansas,2020,White Hall,"4,904",13,0,1,1,11,65,26,32,7,0
Arkansas,2020,Wilson,805,3,0,2,0,1,9,2,5,2,0
Arkansas,2020,Wynne,"7,682",103,0,9,3,91,272,46,212,14,3
California,2020,Adelanto,"34,330",274,4,12,38,220,304,82,138,84,18
California,2020,Agoura Hills,"20,209",23,2,0,7,14,243,42,167,34,2
California,2020,Alameda,"78,047",193,2,12,111,68,"2,485",196,"1,819",470,29
California,2020,Albany,"19,830",29,0,1,19,9,450,53,322,75,3
California,2020,Alhambra,"83,817",175,3,11,67,94,"1,551",235,"1,077",239,3
California,2020,Aliso Viejo,"51,244",28,1,1,3,23,387,56,285,46,5
California,2020,Alturas,"2,535",14,0,4,1,9,44,15,23,6,0
California,2020,American Canyon,"20,571",78,1,4,16,57,387,60,281,46,1
California,2020,Anaheim,"351,913","1,241",16,133,412,680,"8,865","1,229","5,897","1,739",49
California,2020,Anderson,"10,705",70,0,10,9,51,197,34,104,59,0
California,2020,Angels Camp,"3,974",12,0,1,2,9,125,28,79,18,0
California,2020,Antioch,"112,481",591,9,40,142,400,"2,719",464,"1,682",573,45
California,2020,Apple Valley,"73,929",427,4,20,44,359,861,196,502,163,9
California,2020,Arcadia,"58,122",87,2,6,20,59,"1,034",265,696,73,3
California,2020,Arcata,"18,516",77,2,6,27,42,631,125,439,67,11
California,2020,Arroyo Grande,"18,054",26,0,3,6,17,240,44,174,22,1
California,2020,Artesia,"16,610",50,4,4,15,27,306,90,165,51,1
California,2020,Arvin,"22,149",172,2,6,20,144,390,90,159,141,15
California,2020,Atascadero,"30,266",84,0,10,12,62,393,70,293,30,3
California,2020,Atherton,"7,162",15,0,3,2,10,142,39,99,4,1
California,2020,Atwater,"29,704",152,4,2,29,117,889,134,570,185,15
California,2020,Auburn,"14,293",32,0,8,4,20,188,29,133,26,0
California,2020,Avalon,"3,676",7,0,2,0,5,52,7,37,8,0
California,2020,Avenal,"13,321",106,1,4,4,97,97,32,45,20,2
California,2020,Azusa,"50,373",155,0,7,52,96,975,157,610,208,12
California,2020,Bakersfield,"388,265","2,007",44,106,604,"1,253","15,619","3,134","8,656","3,829",599
California,2020,Baldwin Park,"75,233",161,2,8,36,115,862,161,425,276,6
California,2020,Banning,"31,392",125,4,8,20,93,543,150,213,180,0
California,2020,Barstow,"24,041",275,3,11,69,192,928,347,395,186,35
California,2020,Bear Valley,121,7,0,1,0,6,21,3,16,2,0
California,2020,Beaumont,"52,884",116,3,11,20,82,874,124,575,175,9
California,2020,Bell,"35,526",182,2,12,34,134,502,147,238,117,0
California,2020,Bellflower,"76,415",348,3,27,113,205,"1,799",248,"1,033",518,5
California,2020,Bell Gardens,"42,008",150,2,8,63,77,618,74,279,265,12
California,2020,Belmont,"27,063",52,0,11,7,34,422,53,335,34,2
California,2020,Belvedere,"2,107",0,0,0,0,0,22,2,20,0,0
California,2020,Benicia,"28,374",25,0,6,6,13,400,63,289,48,20
California,2020,Berkeley,"122,346",537,6,47,274,210,"5,535",797,"3,933",805,52
California,2020,Beverly Hills,"33,776",111,0,6,48,57,"1,244",263,892,89,10
California,2020,Big Bear,"5,305",62,1,6,3,52,91,20,66,5,1
California,2020,Bishop,"3,733",26,0,2,10,14,133,25,98,10,0
California,2020,Blythe,"19,590",118,0,5,28,85,548,166,337,45,35
California,2020,Bradbury,"1,073",0,0,0,0,0,7,3,3,1,0
California,2020,Brawley,"26,363",120,4,4,19,93,616,93,474,49,28
California,2020,Brea,"43,705",63,0,10,22,31,"1,178",121,959,98,7
California,2020,Brentwood,"66,061",169,1,30,47,91,"1,292",187,977,128,5
California,2020,Brisbane,"4,716",12,1,2,2,7,93,26,50,17,0
California,2020,Broadmoor,"4,176",20,0,1,4,15,61,14,34,13,2
California,2020,Buellton,"5,130",8,0,1,2,5,79,6,58,15,1
California,2020,Buena Park,"81,901",181,1,14,64,102,"2,147",217,"1,531",399,6
California,2020,Burbank,"102,419",174,1,12,48,113,"2,474",293,"1,880",301,9
California,2020,Burlingame,"31,126",67,0,5,21,41,"1,151",131,890,130,4
California,2020,Calabasas,"23,897",39,0,6,14,19,255,36,184,35,2
California,2020,Calexico,"39,957",71,0,2,16,53,805,261,443,101,56
California,2020,California City,"14,286",90,0,9,9,72,231,87,100,44,7
California,2020,Calimesa,"9,310",21,0,0,7,14,352,78,241,33,0
California,2020,Calistoga,"5,255",11,0,2,1,8,91,15,64,12,0
California,2020,Camarillo,"70,424",53,0,16,17,20,817,100,661,56,5
California,2020,Campbell,"41,921",110,0,12,37,61,"1,365",246,913,206,16
California,2020,Canyon Lake,"11,358",13,0,2,0,11,89,7,58,24,0
California,2020,Capitola,"10,020",22,0,5,4,13,387,40,318,29,1
California,2020,Carlsbad,"116,516",224,3,24,35,162,"1,841",256,"1,428",157,8
California,2020,Carmel,"3,825",15,0,3,5,7,95,20,73,2,0
California,2020,Carpinteria,"13,428",21,0,1,4,16,234,25,183,26,2
California,2020,Carson,"91,372",392,8,21,98,265,"2,044",253,"1,262",529,22
California,2020,Cathedral City,"55,417",130,5,15,32,78,651,136,325,190,3
California,2020,Central Marin,"34,593",40,0,6,16,18,752,196,492,64,0
California,2020,Ceres,"49,028",190,3,17,54,116,898,185,499,214,6
California,2020,Cerritos,"49,952",100,0,14,39,47,"1,362",246,970,146,3
California,2020,Chico,"105,355",540,3,56,80,401,"2,113",246,"1,551",316,104
California,2020,Chino,"96,309",335,3,31,77,224,"2,075",274,"1,493",308,6
California,2020,Chino Hills,"84,909",112,0,6,23,83,833,184,557,92,3
California,2020,Chowchilla,"18,278",37,1,4,6,26,159,35,79,45,4
